1	1	0.3769953	0.1129952	28299.62	0.0313769
1	2	0.3798765	0.1529748	31079.76	0.0276057
1	3	0.4372476	0.1787064	33510.16	0.0217488
1	4	0.4906950	0.1681409	37468.02	0.0085108
1	5	0.5261535	0.1581269	41622.10	0.0048379
2	1	0.4940973	0.1441904	33188.57	0.0085048
2	2	0.4541276	0.1672260	39465.98	0.0092650
2	3	0.4479387	0.1975593	41303.73	0.0096863
2	4	0.4894941	0.1999527	47150.67	0.0031562
2	5	0.5440111	0.1957928	51982.79	0.0030796
3	1	0.6295288	0.1289178	43375.45	0.0015841
3	2	0.5773923	0.1251366	56771.96	0.0006716
3	3	0.4906995	0.1692964	67624.32	0.0015870
3	4	0.4860856	0.1981283	76361.26	0.0003130
3	5	0.5433324	0.1873884	80717.00	0.0008488
