18	1.00	0.00	0.00
19	1.00	0.00	0.00
20	0.43	0.56	0.00
21	0.41	0.57	0.00
22	0.39	0.42	0.19
23	0.44	0.30	0.26
24	0.42	0.30	0.28
25	0.42	0.27	0.31
26	0.46	0.25	0.29
27	0.44	0.24	0.31
28	0.45	0.26	0.29
29	0.45	0.25	0.30
30	0.47	0.25	0.28
31	0.44	0.28	0.28
32	0.42	0.30	0.28
33	0.45	0.30	0.25
34	0.44	0.30	0.26
35	0.45	0.31	0.25
36	0.44	0.31	0.25
37	0.40	0.33	0.27
38	0.41	0.32	0.27
39	0.41	0.33	0.26
40	0.43	0.31	0.26
41	0.42	0.33	0.25
42	0.41	0.32	0.27
43	0.42	0.33	0.26
44	0.41	0.33	0.26
45	0.39	0.35	0.26
46	0.39	0.34	0.27
47	0.40	0.34	0.27
48	0.38	0.33	0.29
49	0.38	0.33	0.29
50	0.39	0.36	0.26
51	0.36	0.33	0.31
52	0.39	0.31	0.30
53	0.37	0.33	0.30
54	0.36	0.32	0.32
55	0.34	0.37	0.29
