18	1.00	0.00	0.00
19	1.00	0.00	0.00
20	0.50	0.50	0.00
21	0.46	0.54	0.00
22	0.45	0.44	0.12
23	0.45	0.32	0.22
24	0.44	0.29	0.27
25	0.46	0.26	0.27
26	0.45	0.26	0.28
27	0.44	0.24	0.32
28	0.45	0.24	0.31
29	0.47	0.24	0.29
30	0.49	0.23	0.28
31	0.50	0.24	0.26
32	0.49	0.25	0.26
33	0.51	0.24	0.25
34	0.50	0.24	0.25
35	0.53	0.26	0.22
36	0.50	0.27	0.23
37	0.48	0.28	0.25
38	0.51	0.27	0.22
39	0.50	0.28	0.22
40	0.52	0.26	0.22
41	0.49	0.27	0.23
42	0.48	0.28	0.24
43	0.49	0.27	0.24
44	0.49	0.27	0.24
45	0.52	0.23	0.25
46	0.53	0.25	0.22
47	0.50	0.25	0.25
48	0.48	0.28	0.24
49	0.51	0.26	0.23
50	0.50	0.26	0.24
51	0.48	0.25	0.26
52	0.45	0.29	0.27
53	0.48	0.29	0.23
54	0.50	0.26	0.24
55	0.48	0.28	0.24
