1	1	0.5631576	0.0910797	39921.20	0.0049484
1	2	0.6054240	0.0830558	46212.07	0.0049253
1	3	0.6108537	0.0704446	50512.19	0.0069453
1	4	0.5907004	0.0584638	56610.47	0.0043254
2	1	0.4969335	0.1870000	36885.63	0.0012498
2	2	0.6723265	0.0784651	54283.06	0.0023402
2	3	0.7294180	0.0567518	60725.74	0.0044083
2	4	0.7444606	0.0536190	60538.52	0.0044539
3	1	0.6341650	0.1321881	60106.08	0.0002088
3	2	0.7923409	0.0622542	75479.80	0.0017894
3	3	0.8132544	0.0603900	101707.00	0.0020402
3	4	0.8156954	0.0858324	96982.75	0.0005764
