1	1	0.5573666	0.1108987	30197.19	0.1460471
1	2	0.5677984	0.0909554	35159.79	0.1849978
1	3	0.5574768	0.1039852	35504.30	0.1675467
1	4	0.5831439	0.1073918	41620.34	0.0736257
1	5	0.5649256	0.0925140	42396.61	0.0315211
2	1	0.5730766	0.1722054	32298.52	0.0282115
2	2	0.6612267	0.1068942	43924.30	0.0862517
2	3	0.6687901	0.1053631	47297.61	0.0901017
2	4	0.7134174	0.1115857	51427.66	0.0407544
2	5	0.7130286	0.0758669	58024.34	0.0199182
3	1	0.6716727	0.1569234	39496.12	0.0028964
3	2	0.8274655	0.0701061	62152.83	0.0090374
3	3	0.8225951	0.0655404	74037.73	0.0124611
3	4	0.8069602	0.0732975	84020.55	0.0083693
3	5	0.7842278	0.0703821	90903.29	0.0040651
