1	1	0.8180149	0.0300305	48574.63	0.0278864
1	2	0.8496559	0.0247852	56665.02	0.0152972
1	3	0.8374715	0.0249998	61344.61	0.0135475
1	4	0.8608041	0.0202518	72364.09	0.0061932
1	5	0.8435401	0.0206377	73759.31	0.0018078
2	1	0.8169196	0.0723412	52049.90	0.0051478
2	2	0.8835925	0.0249283	66848.00	0.0087386
2	3	0.9050720	0.0224710	73883.59	0.0050662
2	4	0.9102916	0.0172912	86511.32	0.0022497
2	5	0.8780943	0.0174911	94354.83	0.0016607
3	1	0.8039383	0.0783933	59242.04	0.0007041
3	2	0.9077444	0.0263906	84160.94	0.0006641
3	3	0.9333756	0.0170943	114384.70	0.0012898
3	4	0.9371061	0.0201720	142932.60	0.0005232
3	5	0.9194407	0.0186263	163469.40	0.0002934
