1	1	0.4145061	0.1464298	28632.47	0.0516507
1	2	0.4037404	0.1382190	32068.33	0.0506703
1	3	0.4410728	0.1128431	39068.14	0.0260799
1	4	0.5106242	0.1046258	44784.07	0.0140062
2	1	0.4239392	0.2454313	28658.48	0.0169378
2	2	0.5612150	0.1619685	41526.94	0.0279588
2	3	0.5811906	0.1347012	44422.74	0.0295159
2	4	0.5883289	0.1067014	54186.24	0.0174378
3	1	0.6306056	0.1543121	48164.46	0.0006869
3	2	0.7619836	0.1088375	61922.23	0.0037125
3	3	0.7837981	0.0612118	78345.48	0.0053652
3	4	0.7701627	0.0906105	86347.62	0.0068768
